brivla	1post	2pre	2post	3pre	4pre	5pre	noun1	noun2	noun3	noun4	noun5	adv1	adv2	adv3	adv4	adv5	adj1	adj2	adj3	adj4	adj5
botpi	is a bottle, jar, or flask	for					bottle	contents of a bottle													
boxfo	is a sheet or blanket						sheet														
boxna	is a wave 	in					wave	medium of wave													
bradi	is an enemy 	of		in struggle			enemy	someone who has an enemy	struggle between enemies												
bratu	is hail or sleet						hail/sleet														
brazo	is Brazilian 	in					Brazilian														
bredi	is ready 	for					ready														
bridi	is a clause 	with relationship		among arguments			grammatical clause	relationship in a grammatical clause	argument of a grammatical clause												
brife	is wind 	from					wind	direction of a wind													
briju	is an office	of workers					office	office worker													
brito	is British 	in					British														
broda	is the predicate variable 1						broda														
brode	is the predicate variable 2						brode														
brodi	is the predicate variable 3						brodi														
brodo	is the predicate variable 4						brodo														
brodu	is the predicate variable 5						brodu														
bruna	is a brother	of		bonded by			brother	sibling of a brother													
budjo	is Buddhist 	in					Buddhist														
bukpu	is cloth						cloth														
bumru	is covered by a fog or mist 	of					foggy thing	fog, mist													
bunda	is		weight units	in standard																	
bunre	is brown						brown														
burcu	is a brush 	for doing		with bristles			brush	purpose of a brush	brush bristle												
burna	is flustered, disconcerted 	by					flustered	befuddling event													
cabna	is current 	with	in time				current	current													
cabra	is an apparatus 	for function		controlled by agent			apparatus	function of an apparatus													
minji	is a machine 	for function					machine	function of a machine													
cacra	is		hours in duration				hour	number of hours													
cadzu	walks 	on surface		with limbs			walker	walked-on surface													
cafne	occurs frequently						frequent event														
cagna	is a wound 	on body		at locus	caused by		wound														
cakla	is chocolate or cocoa						chocolate														
calku	is a shell or husk 	around					shell														
canci	vanishes 	from location																			
cando	is idle or at rest						idle thing														
cange	is a farm or ranch 	at		farmed by	that raises or produces		farm		farmer	farm production											
canja	trades 	commodity		for	with		trader	commodity													
canko	is a window 	in structure					window	building with a window													
canlu	is a space 	occupied by					space														
canpa	is a shovel 	for doing					shovel														
canre	is sand						sand														
canti	is a gut 	of					intestine														
carce	is a carriage or wagon 	for carrying					carriage	cargo of a carriage													
carmi	is bright or intense 	in					bright thing														
carna	turns or rotates 	around axis		in direction			rotating	axis of rotation	direction of rotation												
cartu	is a chart or diagram 	of		showing information			chart	picture on a chart													
carvi	rains or showers 	to		from			rain		rain cloud												
casnu	discusses						discusser	topic of a discussion													
catke	shoves or pushes			at locus																	
catlu	examines																				
catni	has authority 	over matter		on the basis of			someone with authority														
catra	kills						killer	killed													
caxno	is shallow 	in direction		away from reference point			shallow														
cecla	launches projectile or missile						gun	missile													
cecmu	is a community or colony of organisms						community	member of a community													
cedra	is an era or age 	characterized by					era														
cenba	varies 	in		by amount			variable														
censa	is holy or sacred 	to					holy														
centero	is in the center 	of					center														
centi	is a hundredth 	of		in			hundredth														
cerda	inherits			from	according to rule		inheritor, heir	inherited, heritage													
cermurse	is the dawn 	of day					dawn														
cerni	is a morning 	of day					morning														
certu	is skilled 	at					expert	field of expertise													
cevni	is a god 	of people/religion		with dominion over			god														
cfari	commences, begins, or starts						beginning, start														
cfika	is a work of fiction	about					work of fiction	plot of a work of fiction													
cfila	is a flaw 	in		causing			flaw	flawed													
cfine	is a wedge						wedge														
cfipu	confuses or baffles			in			confusing														
ciblu	is blood	of					blood														
cicna	is turquoise or cyan						cyan (color)														
cidja	is food 	for					food														
cidni	is a knee/elbow 	of limb					knee, elbow														
cidro	is hydrogen						hydrogen														
cifnu	is an infant or baby	of species					infant														
cigla	is a gland 	secreting		in body			gland	secretion of a gland													
cikna	is awake						someone awake														
cikre	repairs or mends			for use			repairer	repaired													
ciksi	explains			to	with explanation		expounder			explanation											
cilce	is wild or untamed						wild														
cilmo	is moist or damp 	with liquid					damp														
cilre	learns	information		about	from		learner	learned													
cilta	is a thread, wire, filament						thread (cord), cord														
cimde	is a dimension 	of space or object		according to rule or model			dimension														
cimni	in infinite 	in					infinite														
cinba	kisses			at				kissed													
cindu	is an oak 	of species					oak														
cinfo	is a lion 	of species					lion														
cinje	is a wrinkle 	in					wrinkle	wrinkled													
cinki	is an arthropod 	of species					arthropod														
cinla	is thin 	in dimension					thin														
cinmo	feels emotion			about			emotional (live being)	emotion													
cinri	is interesting	to					interesting	interested													
cinta	is paint 	of substance		in a base of			paint (coloring substance)	pigment of a paint	paint base												
cintura	is a waist 	of body					waist (of body)														
cinza	is a pincer/chopsticks/tongs 	for doing		to			tongs														
cipni	is a bird 	of species					bird														
cipra	is a test, act of examination	of					study, test	tested													
cirko	loses			at			loser	lost, not in possesion													
cirla	is cheese						cheese														
ciska	writes			on			writer	written text	writing medium												
cisma	smiles						smiler														
ciste	is a system	with structure		, components	, displaying		system	structure of a system	component of a system	property of a system											
citka	eats						eater	eaten													
citno	is young 	in that it has					young														
citri	is a history 	of		according to			history	having a history													
citsi	is a season 	defined by		of year			season														
civla	is a flea or louse 	of species		parasitic on			flea														
cizra	is strange 	to		in			strange														
ckabu	is rubber						rubber														
ckafi	is coffee						coffee														
ckaji	has property						property														
ckana	is a bed						bed														
ckape	is dangerous 	to					dangerous	threatened													
ckasu	mocks			about	by doing		bully	bullied													
ckeji	feels ashamed, mortified 	about		before audience			ashamed	shameful event													
ckiku	is a key 	fitting lock					key (of a lock)	lock (of a key)													
ckilu	is a scale of units 	for measuring					scale														
ckini	is related 	to		by relationship			related		relationship												
ckire	is grateful or thankful 	to		for			thankful		reason for gratitude												
ckule	is a school 	serving area		, teaching	to		school		subject taught in a school	pupil of a school											
ckunu	is a conifer 	of species					conifer														
cladu	is loud 	at observation point					loud (producing loud sound)	loud place													
clani	is long 	in dimension					long														
claxu	lacks						deficient														
clika	is lichen or moss 	of species		growing on			moss														
clira	is early 	by standard					early event														
clite	is polite 	in matter					polite	polite behaviour													
cliva	leaves			via																	
clupa	is a loop	of material					loop														
cmaci	is mathematics 	describing					mathematics	field of mathematics													
cmalu	is small 	in dimension					small														
cmana	is a mountain 	projecting from					mountain	land mass with a mountain													
cmavo	is a grammatical particle 	of class					grammatical particle														
cmene	is a name	of		used by			name		namegiver												
cmila	laughs						laugher														
cmima	is a member 	of 					member	set													
cmoni	howls, utters, moans			expressing			moaner														
cnano	is normal 	in		among			norm														
cnebo	is a neck 	of body					neck														
cnemu	rewards			for atypical	with		rewarder	rewardee	reason for a reward	reward											
cnici	is neat or orderly 	in					neat														
cnino	is new 	to observer		in property			new														
cnisa	is lead metal						lead (metal)														
cnita	is directly beneath or below						what is beneath	what is above													
cokcu	soaks up			from	into		absorber	absorbed													
condi	is deep 	in		away from reference point			deep														
cortu	feels pain 	at					who feels pain	location of pain			``										
cpacu	acquires or gets			from				acquired													
cpana	on top 	of					what is on top	what is below													
cpare	climbs 	on																			
cpedu	requests			from				something requested													
cpina	is pungent or irritating	to					pungent, irritating														
cradi	broadcasts or transmits			via station or frequency	to receiver		broadcaster	broadcasted	broadcasting station	broadcast receiver											
crane	is in front 	of		facing			something in front														
creka	is a shirt						shirt														
crepu	harvests			from			harvester	harvested crop	crop field												
cribe	is a bear 	of species					bear (animal)														
crida	is a fairy/elf/gnome						fairy, elf														
crino	is green						green														
crisa	is summer 	of year		at location			summer														
critu	is autumn 	of year		at location			autumn														
ctaru	is a tide 	in					tide														
ctebi	is a lip 	of orifice					lip	orifice with a lip													
cteki	is a tax 	on		levied against	by authority or collector		tax	taxable property	taxpayer	collector of a tax											
ctile	is petroleum						petroleum														
ctino	is a shadow 	of		made by light source			shadow														
ctuca	teaches to			ideas			teacher	taught audience	subject taught												
cukla	is round						round														
cukta	is a book 	with work					book	work in a book													
culno	is full 	of					full														
cumki	is possible						possible														
cumla	is modest or humble 	about					modest														
cunmi	is millet or grain 	of species					millet														
cunso	is random, unpredictable						random														
cuntu	is an affair/business	involving persons					affair														
cupra	produces			by process			producer	product	process of production												
curnu	is a worm 	of species					worm														
curve	is pure 	in					pure														
cusku	says			to audience			who says	what is said	audience												
cutci	is a shoe 	for covering					shoe														
cutne	is the chest 	of body					chest														
cuxna	chooses			from complete set				what is chosen	set of choices, menu of choices												
dacru	is a drawer 	in					drawer														
dacti	is a material thing						material object														
dadjo	is Taoist	in					Taoist														
dakfu	is a knife 	for cutting					knife														
dakli	is a bag or sack 	containing					bag	contents of a bag													
damba	fights or struggles 	with		over issue			fighter														
damri	is a percussion instrument	with beater					drum	beater of a drum													
damva'u	smokes, inhales smoke						smoker														
dandu	is suspended or hangs 	from		at joint																	
danfu	is an answer/solution	to					solution to a problem	problem													
danlu	is an animal	of species					live being														
danmo	is smoke 	from source					smoke														
danre	applies force	to					pressure														
dansu	dances	to					dancer														
danti	is a ballistic projectile 	for firing by					bullet	gun													
daplu	is an island						island														
dapma	condemns or curses			to fate				condemned													
dargu	is a road or highway						road														
darlu	argues 	for stance		against stance			arguer	stance (in a discussion)													
darno	is distant 	from		in			distant														
darsi	shows audacity 	in behavior					cheeky	audacious behaviour													
darxi	hits or strikes			with			who strikes														
daski	is a pocket or pouch 	in					pocket														
dasni	wears			as garment of type			who wears a garment	garment worn													
daspo	destroys						destroyer	destroyed													
dasri	is a ribbon or strip						ribbon														
datka	is a duck 	of species					duck														
datni	is information 	about		gathered by method			information		method of getting information												
datru	is dated	to day		of month	of year	in calendar	dated event	calendar full day	calendar month	calendar year	type of calendar system										
decti	is a tenth 	of		in			'1/10'														
degji	is a finger, toe, or digit 	on limb					finger, toe, digit (of body)	limb with fingers or toes													
dejni	owes debt			to creditor	in return for service		debtor	debt	creditor of debt												
dekpu	is		volume units	in standard																	
dekto	is ten times			in			'10'														
delfinu	is a dolphin 	of species/breed					dolphin														
delno	is		candela in luminosity					amount of candela													
dembi	is a legume, bean, or pea 	from plant					legume seed	plant with legumes													
denci	is a tooth 	of					tooth														
denmi	is dense 	in					dense														
denpa	waits or pauses 	for		at state	before doing		something that waits														
dertu	is soil or dirt						soil														
derxi	is a heap or stack 	of					heap														
desku	shakes or vibrates 	from force					something vibrating														
detri	is the date of						datestamp														
dicra	interrupts or disrupts			due to quality																	
didni	deduces	that	is true 	about	from general rule		deducer														
dikca	is electric current 	in medium		of polarity or quantity			electric current														
diklo	is local	to location		within range			local														
dikni	is regular or periodic 	in		with interval			regular														
dilcu	is a quotient 	of		divided by	leaving remainder		quotient	dividend of a quotient	divisor of a quotient	remainder of a quotient											
dilnu	is a cloud 	of material					cloud														
dimna	is a fate or destiny 	of					destiny														
dinju	is a building 	for purpose					building														
dinko	is a nail or tack 	for purpose					nail (tack)														
dirba	is dear or precious 	to					precious														
dirce	radiates or emits						emitter	radiation													
dirgo	is a drop 	of					drop														
ditcu	is the time-duration/period 	of					period														
dizlo	is low 	compared to					low														
djacu	is water						water														
djedi	is		full days long				full day	number of full days													
djica	desires or wants			for purpose				something desired													
djuno	knows 	fact		about	on grounds			known fact		grounds of knowledge											
donri	is daytime 	of day					daytime														
dotco	is German 	in					German														
draci	is a drama or play 	about					play (drama)	plot of a drama													
drani	is correct 	in					correct														
drata	is not the same 	as					other														
drudi	is a roof or lid 	of structure					roof	something with a lid													
dugri	is the logarithm 	of		to base			logarithm		base of a logarithm												
dukti	is opposite or contrary 	to		in			opposite														
dunda	gives or donates			to			giver	gift	receiver of a gift												
dunja	freezes																				
dunku	is distressed or anguished 	by					distressed	distressing event													
dunli	is equal 	to		in			equal														
dunra	is winter 	of year		at location			winter														
dzena	is an elder or ancestor 	of		by bond			ancestor	descendant													
dzipo	is Antarctican 	in																			
enge	is an architect/designer/engineer 	of					designer														
entuzi	is enthusiastic, excited 	about					enthusiastic														
esporte	is a type of sports 	practiced by					sports	sportsperson, sportsman, sportswoman													
facki	discovers 	fact		about			discoverer	a discovery													
fadni	is ordinary 	in		among			typical, ordinary														
fagri	is a fire 	with fuel		burning in			fire	fuel for fire	oxidizer of fire												
falnu	is a sail 	for gathering wind		on vehicle			sail	wind for a sail	sailboat												
famti	is an aunt or uncle 	of		by bond			aunt, uncle	niece, nephew													
lacri	relies, counts on, trusts			to bring about, ensure, maintain state																	
fancu	is a function 	mapping domain		to range	defined by rule		function	function domain	function range												
fange	is alien or unfamiliar 	to		in			alien, unfamiliar														
fanmo	is the end	of					end	process being finished													
fanri	is a factory or mill 	producing		from			factory, mill	product of a factory	raw material for a factory												
fanta	prevents		from occurring					event being prevented													
fanva	translates			to language	from language	with result	translator	text to be translated	target language for translation	source language for translation	translation (text)										
fanza	annoys						annoying event	annoyed person													
fapro	opposes, doesn't surrender 	to		about																	
farlu	falls 	to		from																	
farna	is the direction of			from origin			direction														
farvi	evolves or develops 	into		from	through stages					stage of development, version in development											
fasnu	happens						occurrence														
fatci	is a fact						fact														
fatne	is in reverse order 	from					reversed	a sequence before reversal													
fatri	is distributed 	among		with portions			distributed		portion of a distributed thing												
febvi	boils						something boiling														
fegli	is ugly 	to observer		in aspect			something ugly														
femti	is 10 to the negative fifteenth 	of		in																	
fendi	divides			into			divider	divided													
fengu	is angry 	at		for			angry														
fenki	is crazy						crazy action														
fenra	is a crack 	in					crack														
fenso	sews or stitches		together 	with tool	using filament																
fepni	is		cents/copecks in value 	in monetary system																	
fepri	is a lung 	of					lung														
ferti	is fertile 	for growing					fertile														
festi	is waste 	from					waste														
fetsi	is a female 	of species		with feminine traits			female		feminine trait												
figre	is a fig 	of species					fig														
filme	is a video, movie 	about					movie, film	plot of a movie													
filso	is Palestinian 	in					something Palestinian														
finpe	is a fish 	of species					fish														
finti	creates			for purpose	from existing elements or ideas		creator	creation (object created), creature	purpose of creation	raw materials for creation											
firca	flirts 	with		by doing																	
flalu	is a law 	specifying		for community			law														
flani	is a flute, fife						flute														
flecu	is a current 	in		flowing towards	from		current (flow)														
fliba	fails 	at doing																			
flira	is a face 	of body					face														
flora	is a flower 	of plant or species					flower	blooming													
fluso	is a flowing fluid 	flowing to		from	via the route		fluid														
foldi	is a field 	made of					field														
fonmo	is some foam or froth 	of material		with bubbles of material			foam		bubble in foam												
fonxa	is a phone or modem 	in network					telephone, phone	phone network													
forca	is a fork 	for		with tines	on base		fork														
fragari	is a strawberry 	of species/breed					strawberry														
fraso	is French 	in					French														
frati	responds or reacts 	with action		to stimulus			responder	a response	a responder's stimulus	a response condition											
fraxu	forgives			for					action forgiven												
frica	differs 	from		in			something different														
friko	is African 	in					African														
frili	is easy 	for					easy														
frinu	is a fraction 	of		divided by			fraction	numerator of a fraction	denominator of a fraction												
friti	offers			to				offering													
frumu	frowns																				
fukpi	is a copy 	of		in form	made by method		copy, replica														
fulta	floats 	in or on																			
funca	is determined by luck 	of					luck (good or bad)														
fusra	rots or decays						rotting														
fuzme	is responsible 	for		to authority			responsible														
gacri	is a lid 	for covering					lid	something with a lid													
gadri	is a sumti generating particle of class LE or LA	labelling					gadri (grammatical particle)														
galfi	modifies or changes			into			modifier														
galtu	is high 	in reference frame					high														
galxe	is a throat 	of					throat														
ganlo	is closed 	preventing access to place		for object			closed														
ganra	is broad or wide 	in dimension					broad														
ganse	detects or senses			by means			detector	detected	means of detection												
ganti	is a gonad	of		of sex			gonad		sex (biological)												
ganxo	is the anus 	of					anus														
ganzu	organizes 	chaos		into order	by principle		organizer	chaotic, not organized	organized												
gapci	is a gas						gas														
gapru	is directly above						something above														
garna	is a railing or bar 	supporting or restraining					rail														
gasnu	causes		to happen				agent														
gaspo	is gua\spi 	in					gua\spi														
gasta	is steel						steel														
genja	is a root 	of					root														
gento	is Argentinian 	in					Argentinian														
genxu	is a hook						hook														
gerku	is a dog 	of species					dog														
gerna	is the grammar 	of language		for structure			grammar		text												
gidva	guides or leads			in			guide (conductor)														
gigdo	is a billion or 10 to the ninth 	of		in																	
ginka	is a camp 	of inhabitants					camp	camper													
girzu	is a group 	with 	in common				group														
gismu	is a root verb						gismu (root verb)														
glare	is hot						hot														
gleki	is happy 	about					happy														
gletu	copulates	with																			
glico	is English 	in					English														
gluta	is a glove or mitten						glove														
gocti	is 10 to the negative twenty-fourth 	of		in																	
gotro	is 10 to the twenty-fourth 	of		in																	
gradu	is a unit 	on scale		measuring			unit	scale with units													
grake	has a weight	of	grams					weight in grams													
grana	is a rod or pole						rod														
grasu	is grease, oil						grease														
gredile	is a grill/grid/graticule 	consisting of lines					grill, grid	line of a grid													
greku	is a frame or structure 	supporting					frame														
grusi	is gray						gray														
grute	is a fruit 	of species					fruit (of a plant)														
gubni	is public 	to community					public	a community with something public													
gugde	is the country 	of inhabitants		with territory			country	citizen of a country	territory of a country												
gumri	is a mushroom 	of species					mushroom														
gundi	is industry 	producing		by process or means			industry	product of an industry	industrial process												
gunka	works 	on		with goal			worker	work activity	work goal												
gunma	is a joint mass, team 	of components that are					mass, aggregate	component of a mass													
gunro	rolls 	on surface		rotating on axis or axle																	
gunse	is a goose 	of species					goose														
gunta	attacks			with goal			attacker	attacked													
gurni	is grain 	from plant					grain														
guska	erodes			from																	
gusni	is light 	falling down on		from source			light (illumination)	illuminated	illuminator												
gusta	is a restaurant 	serving food		to			restaurant														
gutci	is		non-metric short distance units	in standard	with subunits		something measured in non-metric short distance	an amount of non-metric distance	a non-metric short distance standard	a subunit of a non-metric short distance											
gutra	is the womb 	of					womb														
influenza	is an influenza, grippe, flu						influenza, grippe, flu														
influ'enza	is an influenza, grippe, flu						influenza, grippe, flu														
info	is information 	about		gathered by method			information		method of gathering information												
insekto	is an insect 	of species					insect														
incipe	is the beginning	of					beginning (first part) of an event														
intele	is an intellect 	of bearer					intellect														
irci	is an IRC user	on channel		in network			IRC user														
jabre	brakes or slows activity			with mechanism or principle																	
jadni	is a decoration 	of					ornament, decoration (ornament)	adorned													
jakne	is a rocket						rocket														
jalge	is a result or outcome 	of					outcome of an event, result of an event														
jalna	is starch						starch														
jamfu	is a foot 	of					foot														
jamna	wars 	against		over territory or matter					reason for a war												
janbe	is a bell or chime 	producing sound					bell	sound of a bell													
janco	is a joint 	attaching limbs					joint	limb with a joint													
janli	collides 	with																			
jansu	is a diplomat 	representing polity		in negotiation/with function			diplomat		diplomatic negotiation												
janta	is a bill, invoice 	for goods or service		billed to	by		bill, invoice														
jarbu	is a suburban area 	of					suburban area														
jarco	demonstrates or shows			to				demonstrated, manifestated property													
jarki	is narrow 	in dimension					narrow														
jaspu	is a passport 	issued to		by	allowing		passport	something having a passport													
jatna	is a commander or leader 	of					commander, leader, captain, boss														
javni	is a rule 	mandating		in			rule	prescribed by a rule	people to whom the rule is applied												
jbama	is a bomb 	with explosive					bomb	explosive of a bomb													
jbari	is a berry	of plant					berry														
jbena	is born 	to						birth giver													
jbera	borrows			from	for time			borrowed													
jbini	is between/among			in			something between														
jbopre	is a Lojbanist						Lojbanist														
jdari	is firm or resistant 	to force					firm														
jdice	decides 	that	is true	about																	
jdika	decreases 	in		by amount			decreasing														
jdima	is the price 	of		to	set by		price	something having a price		price-maker											
jdini	is money 	issued by					money														
jduli	is jelly 	of material					jelly	contents of a jelly													
jecta	is a polity or state 	governing					polity, state														
jeftu	is		weeks long																		
jegvo	is Judaic, Christian, or Moslem 	in					Judaic or Christian or Moslem														
jelca	burns																				
jemna	is a gem						gem														
jenca	shocks or stuns						shocking event	shocked													
jendu	is an axle 	on which	rotates				axle														
jenmi	is an army 	serving		in doing			army														
jerna	earns salary or payment			for work			deserving	deserved, salary													
jersi	chases						chaser	chased													
jerxo	is Algerian 	in					something Algerian														
jesni	is a needle						needle														
jetce	is a jet 	of material		expelled from			jet	a material of a jet	a jet source												
jetnu	is true 	by standard					_true	standard for truth													
jgalu	is a claw 	of					claw														
jganu	is an angle 	from vertex		subtended by lateral			angle	vertex of an angle	lateral of an angle												
jgari	holds, clutches			using			holder	held													
jgena	is a knot 	in					knot	something with a knot													
jgina	is a gene 	of		determining trait			gene														
jgira	feels pride 	in					proud														
jgita	is a guitar or stringed musical instrument	with plectrum or bow					guitar, stringed musical instrument	bow of a guitar, bow of a stringed musical instrument													
jibni	is near			in			near														
jibri	is a job 	of person					job	having a job													
jicla	stirs fluid																				
jicmu	is a fundamental principle, basis 	of					basis, fundamental principle														
jijnu	intuitively knows							intuitively known													
jikca	socializes, interacts socially	with																			
jikni	is the economic market, system 	of political body or sector					economic system														
jikru	is a strong alcoholic drink, liquor, spirits 	distilled from					liquor														
jilka	is a quantity of alkali	of metal					alkali														
jilra	is envious or jealous 	of		about			envious, jealous														
jimca	is a branch 	of					branch														
jimpe	understands			about																	
jimte	is a limit or border 	of		in			limit	something with a limit													
jinci	are shears or scissors 	for cutting					scissors														
jinga	wins prize			from competitors	in competition		winner	a prize won													
jinku	is a vaccine 	protecting		against	introduced by method		vaccine	vaccinated	disease prevented by vaccine	method of vaccination											
jinme	is metal						metal														
jinru	is immersed or submerged 	in liquid					immersed														
jinsa	is clean 	, lacking					clean														
jinto	is a well or spring 	of fluid					well/spring	fluid of a well, spring water													
jinvi	opines or thinks 	that	is true 	about	on grounds		having an opinion	opinion													
jinzi	is an innate or natural property 	of					innate														
jipci	is a chicken 	of species					chicken														
jipno	is a tip or point 	on object		at location			tip														
jirna	is a horn 	of body					horn														
jisra	is some juice 	from					juice														
jitfa	is false 	by standard or epistemology					_false	standard of truth/falsehood													
jitro	has control 	over		in activity			in control	under control													
jivbu	weaves			from material					yarn for weaving												
jivna	competes 	with competitors		in contest	for the reward		competitor	opponent in a competition	competition	prize in a competition											
jmaji	gather 	at location		from locations			gatherers	location of gathering													
jmifa	is a shoal or reef						shoal														
jmina	combines or adds			to	with result																
jmive	is alive 	in that it does					alive														
jordo	is Jordanian 	in					something Jordanian														
jorne	is joined 	to		at location																	
jubme	is a table						table														
judri	is an address 	of		in system			address		address system												
jufra	is a sentence or statement 	about		in language			sentence	topic of a sentence	language of a sentence												
jukpa	cooks or prepares food			by recipe			cook	cooked food	recipe for cooking												
julne	is a filter 	letting	pass	and prohibiting			filter														
jundi	pays attention 	to					attentive	object of attention													
jungo	is Chinese 	in					Chinese														
junla	is a timer or clock 	measuring time units					timer	unit of time													
junpero	is a juniper/cedar 	of species/variety																			
junri	is earnest or serious 	about					someone serious														
junta	is the weight 	of		in field			weight														
jurme	is a bacteria or germ 	of species					bacteria														
jursa	is harsh or severe 	to					harsh event														
jutsi	is a taxon 	of super-taxon					taxon, species														
juxre	is clumsy 	in doing					clumsy														
jvinu	is a view 	seen by		from viewpoint			view		viewpoint												
kabri	is a cup or mug 	containing					cup	content of a cup													
kacma	is a camera 	recording images of illumination type		to medium			camera														
kadno	is Canadian 	in					something Canadian														
kafke	coughs, farts, burps			from orifice																	
kagni	is a company / corporation 	chartered by authority		for purpose			company, corporation														
kajde	warns			of danger																	
kajna	is a shelf or counter 	on					shelf														
kakne	is capable of doing						capable														
kakpa	digs			out of			digger														
kalci	is excrement or feces 	of					excrement														
kalri	is open	giving access to place		for object			open														
kalsa	is a chaos	chaotic in					chaos, chaotic														
kalte	hunts prey			for purpose			hunter	prey													
kamju	is a column						pillar														
kamni	is a committee 	with task					committee	purpose of a committee													
kampu	is universal 	among					common, general, universal	group with something in common													
kamro	is Welsh	in					Welsh														
kanba	is a goat 	of species					goat														
kancu	counts 	the number of		to be	by units																
kandi	is dim, non-intense 	in		received by observer			dim, non-intense														
kanji	calculates 	value		from data			calculater	a calculated value	data for calculation												
kanla	is an eye 	of					eye														
kanpe	expects			with likelihood																	
kanro	is healthy or well 	in					healthy														
kansa	accompanies			in state																	
kantu	is a quantum 	of					quantum														
kanxe	is a conjunction 	stating that	is true	as well as			conjunction	a component of a conjunction	a conjunction element												
karbi	compares			with	in	determining comparison	comparer	something compared	something compared with	a compared property	a comparison										
karce	is a car, truck, van 	for carrying					car, truck, van	cargo of a car													
karda	is a card						card														
kargau	opens			to	due to element																
kargu	is expensive 	to					expensive														
karli	is a belt or collar 	surrounding					collar														
